股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
4583,台灣精銳,"1,385.87","1,033.12",170.89,8.74,41.76,0.69,528.98,0.74,0.25,8.03,8.89,136.28,32.50,10.89
4588,玖鼎電力,141.92,61.37,15.62,10.81,33.76,1.41,258.86,2.60,0.65,10.51,27.39,50.33,15.11,4.03
4720,德淵,142.47,101.26,575.07,4.91,74.33,4.62,79.00,3.30,1.05,2.54,5.73,10.63,1.86,0.74
4722,國精化,253.75,140.87,20.87,4.10,89.02,2.88,126.73,2.27,0.75,3.82,5.76,21.28,4.83,1.67
4736,泰博,308.78,253.42,112.15,3.83,95.30,1.32,276.51,1.58,0.39,8.57,10.94,139.22,21.90,10.67
4737,華廣,100.51,62.39,0.33,2.80,130.35,1.82,200.54,0.71,0.34,0.87,0.32,-5.24,0.37,0.1
4739,康普,202.86,165.21,0.27,9.09,40.15,2.82,129.43,1.13,0.49,-0.03,-1.21,-5.46,-1.42,-0.93
4746,台耀,161.77,109.12,5.10,4.81,75.88,1.24,294.35,0.73,0.33,-0.13,-0.65,11.84,-1.20,1.05
4755,三福化,112.84,70.77,20.56,3.85,94.80,5.69,64.14,1.55,0.66,6.23,9.79,57.72,8.90,4.41
4763,材料-KY,587.90,545.22,"33,816.22",38.28,9.53,9.60,38.02,6.86,1.27,60.17,74.74,711.12,47.37,62.52
4764,雙鍵,131.97,108.22,-1.61,4.24,86.08,3.97,91.93,1.15,0.48,-1.35,-3.81,-10.40,-3.86,-1.0
4766,南寶,210.12,165.54,33.55,4.21,86.69,5.14,71.01,3.64,0.85,10.91,17.0,281.47,12.47,20.14
