股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
2382,廣達,71.90,331.76,126.38,100.46,6.80,3.99,91.47,5.72,63.81,17.85,1.57,6.32,21.86,133.93,3.72,10.29,25.74,100.43,39.86
2383,台光電,49.82,182.25,145.95,119.36,26.68,2.85,128.07,5.78,63.14,2.64,0.85,11.34,22.45,216.20,13.29,16.35,12.52,62.33,0.16
2385,群光,49.12,291.93,149.17,108.13,90.53,4.14,88.16,4.06,89.90,6.19,1.11,10.23,20.33,148.32,9.15,10.35,42.74,123.82,18.02
2387,精元,46.55,259.57,161.01,129.34,9.92,3.06,119.28,5.55,65.76,4.71,1.04,6.70,11.92,91.66,5.68,6.50,48.52,97.36,20.04
2388,威盛,0.37,8.56,2.63,2.12,10.60,28.06,13.00,2.61,139.84,6.39,0.53,0.02,0.03,0.14,0.04,0.82,0.35,0.73,0.10
2390,云辰,15.70,"1,096.96",429.28,298.34,-11.24,7.16,50.97,0.83,439.75,2.71,0.21,-2.44,-3.07,-3.11,-12.41,-0.42,-2.59,-50.15,-0.44
2392,正崴,65.18,284.09,164.14,112.12,6.06,4.93,74.03,4.74,77.00,4.15,0.89,2.55,5.75,61.22,2.32,3.09,6.12,33.52,1.57
2393,億光,27.62,309.81,265.30,249.49,178.37,3.31,110.27,12.25,29.79,2.71,0.68,5.81,8.02,45.73,8.45,3.32,47.01,186.59,4.83
2395,研華,29.32,468.21,258.23,192.08,"29,223.02",6.34,57.57,3.23,113.00,5.77,0.95,15.99,23.18,154.54,16.71,12.65,60.30,104.36,3.88
2397,友通,45.25,171.50,188.01,108.08,9.58,3.74,97.59,2.10,173.80,3.44,0.82,3.53,6.49,44.31,3.82,3.16,54.10,46.24,18.67
