股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
8103,瀚荃,38.78,342.16,258.86,226.87,21.33,3.11,117.36,3.93,92.87,2.68,0.58,4.50,7.00,43.21,7.26,2.76,48.49,160.23,12.11
8104,錸寶,58.53,156.77,145.72,111.57,91.07,3.78,96.56,4.24,86.08,1.23,0.52,-3.06,-9.13,-0.56,-7.63,-3.08,28.30,49.88,3.72
8105,凌巨,32.26,158.89,187.05,131.47,15.10,6.70,54.47,5.02,72.70,1.61,0.74,2.08,3.00,6.32,2.61,0.53,32.43,99.91,4.41
8110,華東,38.59,173.06,163.80,143.84,0.23,4.60,79.34,8.88,41.10,0.93,0.42,0.27,-1.10,-2.90,-1.55,-0.01,72.64,98.56,4.77
8112,至上,64.32,"7,114.18",179.02,95.92,3.43,7.70,47.40,6.06,60.23,489.80,3.12,7.20,13.81,59.86,1.60,4.70,無,無,無
8114,振樺電,57.41,352.51,222.43,141.96,6.22,6.53,55.89,2.12,172.16,2.96,0.64,4.76,11.50,134.61,7.40,5.55,63.39,130.75,10.62
8131,福懋科,10.98,506.21,"1,102.30","1,015.92","10,689.35",4.73,77.16,8.57,42.59,2.86,0.55,3.82,4.33,14.09,6.93,1.20,212.64,135.59,1.04
8150,南茂,46.16,202.76,342.17,305.60,9.53,4.40,82.95,5.87,62.18,1.08,0.47,4.62,7.62,31.19,8.87,2.60,89.86,104.00,4.75
8162,微矽電子-創,43.34,121.35,177.96,170.44,-1.43,3.61,101.10,39.48,9.24,0.62,0.41,-0.82,-2.03,-4.55,-2.90,-0.39,75.06,91.68,6.27
8163,達方,54.79,226.93,148.27,102.89,11.79,3.53,103.39,2.95,123.72,3.02,0.75,6.17,12.79,105.91,7.36,5.91,31.01,49.91,14.84
