股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比
3529,力旺,2235.0,38.0,509.0,2285.0,2325.0,2230.0,2230.0,0.2242152466367713
3531,先益,30.0,1.0,14.0,28.15,30.0,28.15,29.4,2.040816326530617
3537,堡達,53.8,47.0,809.0,54.6,55.2,53.6,52.9,1.701323251417767
3540,曜越,35.7,7.0,282.0,36.5,36.8,35.6,35.5,0.5633802816901489
3541,西柏,29.7,3.0,64.0,29.9,30.4,29.5,29.8,-0.3355704697986625
3546,宇峻,79.0,9.0,228.0,80.2,80.5,78.0,80.0,-1.25
3548,兆利,156.0,29.0,464.0,158.5,159.5,156.0,153.0,1.9607843137254901
3551,世禾,88.6,6.0,174.0,91.8,91.8,88.5,88.5,0.11299435028247946
3552,同致,88.3,7.0,143.0,89.6,90.0,88.3,86.7,1.8454440599769255
3555,博士旺,37.5,3.0,43.0,36.45,39.0,36.3,37.0,1.3513513513513513
3556,禾瑞亞,47.5,2.0,65.0,48.0,48.0,47.5,47.7,-0.41928721174004785
3558,神準,143.0,22.0,314.0,147.5,148.0,143.0,143.5,-0.34843205574912894
3564,其陽,81.6,35.0,898.0,81.5,84.5,80.8,78.0,4.615384615384608
3567,逸昌,33.35,1.0,48.0,33.05,33.45,33.05,32.85,1.5220700152207
3570,大塚,-,-,31,155.0000,157.5000,155.0000,155.5000,0.0
3577,泓格,50.1,1.0,48.0,51.3,51.3,49.85,49.8,0.6024096385542255
3580,友威科,89.0,568.0,15509.0,89.1,94.5,88.5,88.0,1.1363636363636365
3581,博磊,39.0,47.0,2047.0,37.3,39.8,37.15,36.2,7.734806629834246
3587,閎康,269.5,40.0,1027.0,260.5,275.0,257.0,251.0,7.370517928286853
3594,磐儀,41.6,42.0,821.0,42.25,42.65,41.05,41.05,1.339829476248488
3597,映興,24.25,4.0,80.0,25.25,25.35,23.95,23.75,2.1052631578947367
3609,三一東林,45.0,13.0,275.0,45.0,45.75,44.5,44.8,0.44642857142857784
3611,鼎翰,195.5,4.0,33.0,197.5,197.5,195.0,194.5,0.5141388174807198
3615,安可,23.7,30.0,430.0,24.1,24.55,23.65,23.7,0.0
3623,富晶通,-,-,47,25.2000,26.0000,25.0500,25.0000,0.0
3624,光頡,48.25,32.0,588.0,50.2,50.2,48.0,48.2,0.103734439834019
3625,西勝,12.65,5.0,67.0,12.6,12.8,12.55,12.6,0.39682539682540247
3628,盈正,43.3,2.0,108.0,43.1,43.75,43.1,42.7,1.4051522248243427
3629,地心引力,25.0,2.0,6.0,23.6,25.0,23.6,23.0,8.695652173913043
3630,新鉅科,26.1,14.0,279.0,26.9,26.9,26.1,26.15,-0.19120458891012299
3631,晟楠,42.7,9.0,134.0,43.9,44.3,42.55,43.8,-2.5114155251141423
3632,研勤,14.0,10.0,40.0,14.2,14.2,14.0,14.2,-1.4084507042253471
3646,艾恩特,30.0,4.0,52.0,30.35,30.35,29.8,30.05,-0.16638935108153316
3663,鑫科,95.8,17.0,3302.0,95.8,95.8,95.8,87.1,9.988518943742829
3664,安瑞-KY,23.3,4.0,36.0,23.5,24.0,23.05,23.5,-0.8510638297872309
3666,光耀,35.6,3.0,143.0,36.5,37.0,35.6,35.65,-0.14025245441794434
3672,康聯訊,20.05,1.0,18.0,19.95,20.1,19.9,20.0,0.25000000000000355
3675,德微,287.5,33.0,615.0,289.5,299.0,285.5,280.0,2.6785714285714284
3680,家登,480.0,72.0,1804.0,460.0,482.5,460.0,450.0,6.666666666666667
3684,榮昌,-,-,23,46.1500,46.1500,45.9000,46.1500,0.0
3685,元創精密,17.15,1.0,53.0,17.25,17.35,16.75,16.9,1.4792899408284024
3687,歐買尬,84.5,11.0,88.0,84.9,85.9,84.1,83.3,1.4405762304922003
