股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
2028,威致,167.72,48.23,"1,274.98",7.92,46.08,3.47,105.18,2.98,1.24,5.30,9.43,15.32,3.96,1.28
2029,盛餘,968.37,730.85,241.26,16.71,21.84,5.72,63.81,5.53,1.15,5.88,6.37,24.60,5.09,1.95
2030,彰源,209.21,78.87,1.58,10.51,34.72,2.66,137.21,2.77,1.07,1.49,1.01,3.33,0.40,0.18
2031,新光鋼,156.86,95.20,5.85,3.16,115.50,2.38,153.36,4.06,0.61,7.72,15.64,57.84,10.77,5.15
2032,新鋼,"1,329.29","1,008.72",-46.63,4.50,81.11,10.50,34.76,5.37,1.50,-1.07,-1.24,-2.01,-0.73,-0.16
2033,佳大,246.80,114.62,-0.19,3.28,111.28,2.10,173.80,1.29,0.47,-0.05,-0.3,-0.46,-0.53,-0.04
2034,允強,106.02,33.05,2.22,15.94,22.89,2.83,128.97,2.35,0.80,-0.28,-1.75,-3.13,-1.11,-0.38
2038,海光,100.51,40.07,1.43,8.25,44.24,4.33,84.29,2.09,0.99,1.04,0.75,1.95,0.32,0.28
2049,上銀,241.56,145.76,14.04,7.11,51.33,1.85,197.29,0.88,0.48,3.84,5.23,71.79,7.44,5.75
2059,川湖,745.16,696.85,113.88,3.34,109.28,2.31,158.00,1.80,0.28,13.70,16.86,359.47,46.92,28.38
2062,橋椿,171.43,125.73,639.58,3.06,119.28,3.44,106.10,1.32,0.60,2.92,4.3,17.63,4.16,1.57
2069,運錩,104.23,38.10,-0.09,13.15,27.75,4.28,85.28,2.70,1.34,-0.01,-3.77,-12.10,-1.25,-0.9
2101,南港,160.19,32.73,2.12,5.78,63.14,0.31,"1,177.41",1.03,0.20,0.70,1.3,2.38,1.71,0.16
2102,泰豐,171.40,156.63,"-1,645.65",2.00,182.50,1.97,185.27,0.09,0.04,-13.86,-30.96,-36.52,-361.47,-3.76
2103,台橡,164.28,97.46,506.79,7.61,47.96,3.98,91.70,3.07,0.84,3.34,4.66,17.25,3.08,0.82
2104,國際中橡,183.12,159.15,0.83,4.63,78.83,5.49,66.48,0.93,0.31,4.68,-1.52,-1.16,-3.03,-0.51
2105,正新,289.73,199.87,983.00,7.22,50.55,3.80,96.05,1.35,0.67,5.67,8.45,32.41,7.48,2.22
2106,建大,235.17,137.58,3.41,8.40,43.45,2.52,144.84,2.20,0.79,2.91,4.52,13.67,2.56,0.92
2107,厚生,582.89,399.47,23.49,9.21,39.63,0.31,"1,177.41",1.76,0.10,3.85,4.28,19.51,38.16,1.61
2108,南帝,978.75,854.31,255.76,10.90,33.48,4.44,82.20,3.30,0.51,5.51,6.19,25.74,10.59,1.45
2109,華豐,276.82,212.05,16.04,6.84,53.36,3.50,104.28,1.54,0.58,7.16,10.83,28.05,11.37,1.51
2114,鑫永銓,648.90,586.42,350.71,8.34,43.76,3.85,94.80,1.20,0.42,12.76,15.4,74.79,30.11,6.02
2115,六暉-KY,245.71,187.50,8.68,3.74,97.59,3.73,97.85,1.21,0.54,4.12,5.77,32.77,6.75,1.76
2201,裕隆,105.31,100.20,18.93,0.32,"1,140.62",4.59,79.52,1.97,0.22,2.40,10.53,100.86,10.34,4.63
2204,中華,151.45,92.06,"102,336.43",13.83,26.39,7.43,49.12,5.53,0.78,12.00,15.68,123.08,15.39,10.36
2206,三陽工業,148.93,92.01,19.40,19.53,18.68,4.95,73.73,4.53,1.08,11.70,29.2,101.26,10.34,7.95
2207,和泰車,103.88,96.24,56.33,0.73,500.00,12.44,29.34,3.47,0.49,5.95,30.74,529.50,11.89,41.03
2208,台船,100.15,43.39,-9.94,13.75,26.54,4.17,87.52,1.61,0.49,-8.74,-49.14,-43.20,-18.86,-4.32
2211,長榮鋼,285.38,203.49,96.25,10.42,35.02,2.05,178.04,3.03,0.33,12.86,16.41,116.47,38.90,8.8
2227,裕日車,417.88,400.94,196.48,93.43,3.90,無,無,23.76,1.11,4.95,6.28,49.04,4.44,3.87
2228,劍麟,353.50,260.56,70.70,4.09,89.24,3.39,107.66,2.66,0.80,8.52,12.05,93.04,10.50,6.78
2231,為升,250.57,185.29,9.02,2.42,150.82,1.96,186.22,1.89,0.44,3.64,6.11,32.77,7.23,3.15
2233,宇隆,299.12,215.77,101.13,4.52,80.75,2.55,143.13,1.92,0.65,10.48,15.07,94.75,15.87,8.86
2236,百達-KY,383.61,281.15,11.36,3.42,106.72,2.30,158.69,8.04,0.80,6.15,9.33,36.23,6.97,2.99
2239,英利-KY,128.69,89.24,2.40,3.79,96.30,3.52,103.69,2.04,0.65,1.30,1.51,36.64,1.01,1.41
2241,艾姆勒,364.05,251.79,-10.43,2.92,125.00,2.29,159.38,0.58,0.30,-7.86,-15.52,-22.69,-27.35,-2.47
2243,宏旭-KY,108.65,40.73,-2.29,2.54,143.70,0.93,392.47,3.15,0.51,-3.39,-24.68,-18.26,-8.62,-2.21
2247,汎德永業,216.00,141.36,55.10,131.61,2.77,10.08,36.21,10.00,2.27,8.13,14.29,278.11,3.52,22.17
2250,IKKA-KY,177.53,148.26,16.38,3.77,96.81,6.60,55.30,4.74,1.02,3.61,7.2,69.11,3.27,4.07
2254,巨鎧精密-創,81.90,59.38,-1.24,16.20,22.53,3.37,108.30,0.34,0.24,-1.17,-5.43,9.26,-8.65,-0.78
2258,鴻華先進-創,763.06,694.49,無,8.23,44.34,2.02,180.69,0.96,0.06,-10.88,-11.9,-12.59,-184.60,-1.2
2301,光寶科,158.79,130.91,13.23,4.13,88.37,4.00,91.25,7.92,0.76,8.12,17.58,78.05,9.84,6.36
2302,麗正,171.76,142.44,213.19,5.75,63.47,3.31,110.27,1.50,0.32,3.89,4.79,6.40,12.12,0.52
2303,聯電,218.95,179.68,48.81,6.69,54.55,4.34,84.10,1.09,0.41,11.47,17.57,56.24,27.61,4.93
2305,全友,546.75,478.01,900.00,9.52,38.34,2.07,176.32,1.41,0.20,0.94,1.0,1.92,3.87,0.03
2308,台達電,206.18,143.34,"4,254.90",4.78,76.35,3.03,120.46,4.35,0.91,7.77,17.3,187.26,8.32,12.86
2312,金寶,133.47,97.46,1.46,4.36,83.71,6.16,59.25,5.96,1.32,2.35,2.64,7.75,0.52,0.51
2313,華通,175.20,139.56,"1,077.79",4.02,90.79,6.29,58.02,1.88,0.84,5.81,10.69,44.23,6.21,3.49
2314,台揚,125.63,60.98,-5.66,4.10,89.02,1.34,272.38,5.43,0.56,-8.96,-31.3,-21.98,-19.48,-2.6
2316,楠梓電,176.87,146.86,18.80,3.65,100.00,4.09,89.24,1.40,0.26,6.40,9.87,66.49,23.77,4.61
2317,鴻海,159.01,119.78,3.99,6.16,59.25,6.72,54.31,16.29,1.53,5.12,9.28,138.66,2.51,10.25
2321,東訊,102.92,85.68,34.96,4.57,79.86,2.76,132.24,8.44,0.49,0.66,-4.3,-4.76,-2.51,-2.6
2323,中環,440.57,352.75,19.52,5.16,70.73,1.62,225.30,1.79,0.30,7.51,9.86,16.56,23.82,1.61
2324,仁寶,133.06,98.18,3.35,4.92,74.18,8.75,41.71,32.73,2.13,2.92,7.02,26.98,0.96,1.76
2327,國巨,113.49,87.89,12.25,5.04,72.42,2.41,151.45,1.69,0.35,6.28,13.6,576.61,16.32,41.8
2328,廣宇,206.22,160.65,31.49,3.64,100.27,5.66,64.48,9.32,1.03,6.18,9.89,35.53,5.81,2.42
2329,華泰,185.05,155.47,62.07,4.46,81.83,7.82,46.67,3.24,0.94,10.79,17.9,30.16,11.27,2.66
2330,台積電,240.16,212.46,54.08,9.96,36.64,4.18,87.32,0.75,0.41,16.14,26.18,377.59,38.75,32.34
